"type_maison","commodites","localite","loyer","telephone","date_publication"
"chambre salon","cour commune, cuisine, douche","tanghin","50000","71 32 43 99","2023-12-12"
"chambre salon","carrele, cuisine, douche, garage, ventile, vitre","sakoula","125000","78 42 75 00","2023-12-12"
"chambre salon","cuisine, douche, plafonne, ventile, vitre","tanghin","30000","79 31 67 00","2023-12-12"
"chambre salon","cour commune, cuisine, douche","tanghin","30000","71 32 43 99","2023-12-12"
"villa","cuisine, douche","tanghin","80000","","2023-12-11"
"villa","ventilé, Carrellé","zone une","22600","55 45 75 49","2023-12-11"
"chambre salon","plafonne","tanghin","25000","79 31 67 00","2023-12-11"
"chambre salon","douche, douche interne, plafonne","tanghin","30000","55 77 25 64","2023-12-11"
"villa","3 chambres, carrele, chauffe eau, climatise, cuisine, douche, placards, plafonne, ventile, vitre","koulouba","325000","52 25 18 65","2023-12-11"
"chambre salon","cuisine, douche","balkuy","500000","52 54 00 48","2023-12-11"
"villa","douche, douche interne, placard, ventile, vitre","kossodo","33000","70 63 16 24","2023-12-11"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","tampouy","35000","69 01 07 75","2023-12-11"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","kamboincé","35000","69 01 07 75","2023-12-11"
"villa","ventilé, Carrellé","toeghin","200000","74 96 49 51","2023-12-11"
"chambre salon","cuisine, douche, plafonne, ventile","tanghin","32500","79 31 67 00","2023-12-11"
"chambre salon","cuisine, douche, placard, plafonne, ventile","tanghin","40000","79 31 67 00","2023-12-11"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","kamboincé","40000","69 01 07 75","2023-12-11"
"chambre salon","auvent, carrele, climatisee, courcommune, cuisine, douche, plafonne, ventile, vitre","rimkiéta","50000","69 01 07 75","2023-12-11"
"villa","cuisine, douche, garage","sakoula","125000","62 14 23 58","2023-12-11"
"chambre salon","carrele, courcommune, douche interne, plafonne, ventile","kilwin","25000","69 01 07 75","2023-12-11"
"mini villa","cuisine, douche","tanghin","60000","71 32 43 99","2023-12-11"
"chambre salon","carrelee, cour unique, cuisine, douche, plafonnee, ventilee","tampouy","85000","70 36 73 03","2023-12-11"
"chambre salon","cour commune, cuisine, douche, plafonne, ventile, vitre","rayongo","35000","69 85 85 59","2023-12-11"
"chambre salon","cuisine, douche","nagrin","60000","74 05 32 53","2023-12-11"
"chambre salon","carrelee, cour unique, cuisine, douche, plafonnee, ventilee","tampouy","85000","70 36 73 03","2023-12-11"
"chambre salon","cour commune, cuisine, douche","tanghin","35000","62 84 18 39","2023-12-08"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","tanghin","30000","69 01 07 75","2023-12-11"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","tanghin","50000","69 01 07 75","2023-12-11"
"chambre salon","cuisine, douche, plafonne, ventile, vitre","tanghin","80000","79 31 67 00","2023-12-11"
"chambre salon","cuisine, douche, plafonne, ventile, vitre","tanghin","80000","79 31 67 00","2023-12-11"
"chambre salon","cuisine, douche, plafonne, ventile","kamsonghin","75000","79 31 67 00","2023-12-11"
"chambre salon","cuisine, douche","tanghin","80000","74 92 19 26","2023-12-11"
"chambre salon","douche, plafonne, ventile","sakoula","40000","79 31 67 00","2023-12-11"
